TANGGAL,TN,TX,TAVG,RR,SS,RH_AVG,BULAN,Hasil_KNN,Label_KNN,TN_norm,TX_norm,TAVG_norm,RR_norm,SS_norm,RH_AVG_norm,BULAN_norm,TN_norm_kemarin,TX_norm_kemarin,TAVG_norm_kemarin,SS_norm_kemarin,RH_AVG_norm_kemarin,Algoritma_Terpilih,Prediksi_Final_Cuaca,Label_Prediksi,Cluster_Iklim
2024-05-20,27.4,34.4,30.6,0.0,6.5,68.0,5,0,Tidak Hujan,0.8260869565217389,0.767857142857142,0.8541666666666675,0.0,0.8125,0.28125,0.3636363636363636,0.7391304347826088,0.5535714285714284,0.7916666666666673,0.5625,0.34375,KNN,0,Tidak Hujan,1
2024-05-21,27.4,33.0,30.5,0.0,3.4,70.0,5,0,Tidak Hujan,0.8260869565217389,0.5178571428571421,0.8333333333333338,0.0,0.425,0.34375,0.3636363636363636,0.8260869565217389,0.767857142857142,0.8541666666666675,0.8125,0.28125,KNN,0,Tidak Hujan,1
2024-05-22,28.0,33.8,30.6,0.0,5.2,72.0,5,0,Tidak Hujan,0.9565217391304348,0.6607142857142846,0.8541666666666675,0.0,0.65,0.40625,0.3636363636363636,0.8260869565217389,0.5178571428571421,0.8333333333333338,0.425,0.34375,KNN,0,Tidak Hujan,1
2024-05-23,28.0,32.0,28.9,0.05,3.2,81.0,5,0,Tidak Hujan,0.9565217391304348,0.3392857142857135,0.5,0.0002705627705627,0.4,0.6875,0.3636363636363636,0.9565217391304348,0.6607142857142846,0.8541666666666675,0.65,0.40625,KNN,0,Tidak Hujan,1
2024-05-24,26.0,33.4,29.3,0.1,0.0,78.0,5,0,Tidak Hujan,0.5217391304347826,0.5892857142857134,0.5833333333333338,0.0005411255411255,0.0,0.59375,0.3636363636363636,0.9565217391304348,0.3392857142857135,0.5,0.4,0.6875,KNN,0,Tidak Hujan,0
2024-05-25,26.6,33.0,27.2,3.5,4.0,86.0,5,1,Hujan,0.6521739130434786,0.5178571428571421,0.1458333333333332,0.0189393939393939,0.5,0.84375,0.3636363636363636,0.5217391304347826,0.5892857142857134,0.5833333333333338,0.0,0.59375,KNN,1,Hujan,0
2024-05-26,26.4,33.0,29.5,2.1,0.0,77.0,5,0,Tidak Hujan,0.6086956521739127,0.5178571428571421,0.6250000000000003,0.0113636363636363,0.0,0.5625,0.3636363636363636,0.6521739130434786,0.5178571428571421,0.1458333333333332,0.5,0.84375,KNN,0,Tidak Hujan,0
2024-05-27,26.8,35.6,31.0,1.4,0.4,70.0,5,1,Hujan,0.6956521739130437,0.9821428571428568,0.9375000000000006,0.0075757575757575,0.05,0.34375,0.3636363636363636,0.6086956521739127,0.5178571428571421,0.6250000000000003,0.0,0.5625,KNN,1,Hujan,0
2024-05-28,27.0,34.0,30.7,0.7,6.0,74.0,5,0,Tidak Hujan,0.7391304347826088,0.6964285714285708,0.8750000000000003,0.0037878787878787,0.75,0.46875,0.3636363636363636,0.6956521739130437,0.9821428571428568,0.9375000000000006,0.05,0.34375,KNN,0,Tidak Hujan,1
2024-05-29,28.0,34.2,30.8,0.0,6.4,73.0,5,0,Tidak Hujan,0.9565217391304348,0.7321428571428571,0.895833333333334,0.0,0.8,0.4375,0.3636363636363636,0.7391304347826088,0.6964285714285708,0.8750000000000003,0.75,0.46875,KNN,0,Tidak Hujan,1
