TANGGAL,TN,TX,TAVG,RR,SS,RH_AVG,BULAN,Hasil_KNN,Label_KNN,TN_norm,TX_norm,TAVG_norm,RR_norm,SS_norm,RH_AVG_norm,BULAN_norm,TN_norm_kemarin,TX_norm_kemarin,TAVG_norm_kemarin,SS_norm_kemarin,RH_AVG_norm_kemarin,Algoritma_Terpilih,Prediksi_Final_Cuaca,Label_Prediksi,Cluster_Iklim
2024-05-20,24.6,34.0,29.5,0.0,7.0,74.5,5.0,0,Tidak Hujan,0.6750000000000007,0.875,1.0,0.0,0.8433734939759036,0.0,0.3636363636363636,1.0,0.9749999999999996,0.9249999999999998,0.9036144578313252,0.0769230769230769,Naive Bayes,0,Tidak Hujan,1
2024-05-21,25.4,34.5,29.5,0.05,8.3,79.0,5.0,0,Tidak Hujan,0.875,1.0,1.0,0.000328947368421,1.0,0.2307692307692307,0.3636363636363636,0.6750000000000007,0.875,1.0,0.8433734939759036,0.0,Naive Bayes,0,Tidak Hujan,1
2024-05-22,25.2,33.6,28.1,0.1,3.5,83.0,5.0,0,Tidak Hujan,0.8250000000000002,0.7750000000000004,0.6500000000000004,0.0006578947368421,0.4216867469879518,0.4358974358974359,0.3636363636363636,0.875,1.0,1.0,1.0,0.2307692307692307,Naive Bayes,0,Tidak Hujan,1
2024-05-23,25.4,33.3,29.5,0.1,3.4,76.0,5.0,1,Hujan,0.875,0.6999999999999993,1.0,0.0006578947368421,0.4096385542168674,0.0769230769230769,0.3636363636363636,0.8250000000000002,0.7750000000000004,0.6500000000000004,0.4216867469879518,0.4358974358974359,Naive Bayes,0,Tidak Hujan,0
2024-05-24,24.6,33.0,28.6,17.5,3.3,85.0,5.0,1,Hujan,0.6750000000000007,0.625,0.7750000000000004,0.1151315789473684,0.3975903614457831,0.5384615384615384,0.3636363636363636,0.875,0.6999999999999993,1.0,0.4096385542168674,0.0769230769230769,Naive Bayes,0,Tidak Hujan,0
2024-05-25,25.0,34.4,29.5,8.8,1.4,80.0,5.0,1,Hujan,0.7750000000000004,0.9749999999999996,1.0,0.0578947368421052,0.1686746987951807,0.282051282051282,0.3636363636363636,0.6750000000000007,0.625,0.7750000000000004,0.3975903614457831,0.5384615384615384,Naive Bayes,0,Tidak Hujan,0
2024-05-26,24.9,33.0,28.3,0.1,4.0,86.0,5.0,1,Hujan,0.75,0.625,0.7000000000000002,0.0006578947368421,0.4819277108433734,0.5897435897435898,0.3636363636363636,0.7750000000000004,0.9749999999999996,1.0,0.1686746987951807,0.282051282051282,Naive Bayes,0,Tidak Hujan,0
2024-05-27,24.8,33.4,27.9,25.0,2.2,86.0,5.0,0,Tidak Hujan,0.7250000000000005,0.7249999999999996,0.5999999999999996,0.1644736842105263,0.2650602409638554,0.5897435897435898,0.3636363636363636,0.75,0.625,0.7000000000000002,0.4819277108433734,0.5897435897435898,Naive Bayes,1,Hujan,0
2024-05-28,25.4,33.0,26.7,20.0,4.0,88.0,5.0,1,Hujan,0.875,0.625,0.2999999999999998,0.131578947368421,0.4819277108433734,0.6923076923076923,0.3636363636363636,0.7250000000000005,0.7249999999999996,0.5999999999999996,0.2650602409638554,0.5897435897435898,Naive Bayes,1,Hujan,0
2024-05-29,24.6,32.4,28.8,32.0,1.0,82.0,5.0,1,Hujan,0.6750000000000007,0.4749999999999996,0.8250000000000002,0.2105263157894736,0.1204819277108433,0.3846153846153846,0.3636363636363636,0.875,0.625,0.2999999999999998,0.4819277108433734,0.6923076923076923,Naive Bayes,1,Hujan,0
2024-05-30,25.0,32.4,29.0,0.0,4.8,82.0,5.0,0,Tidak Hujan,0.7750000000000004,0.4749999999999996,0.875,0.0,0.5783132530120482,0.3846153846153846,0.3636363636363636,0.6750000000000007,0.4749999999999996,0.8250000000000002,0.1204819277108433,0.3846153846153846,Naive Bayes,0,Tidak Hujan,0
2024-05-31,25.0,33.6,28.7,0.05,7.1,81.0,5.0,0,Tidak Hujan,0.7750000000000004,0.7750000000000004,0.7999999999999998,0.000328947368421,0.8554216867469878,0.3333333333333333,0.3636363636363636,0.7750000000000004,0.4749999999999996,0.875,0.5783132530120482,0.3846153846153846,Naive Bayes,0,Tidak Hujan,1
2024-06-01,24.4,33.4,27.9,0.1,7.0,85.0,6.0,0,Tidak Hujan,0.625,0.7249999999999996,0.5999999999999996,0.0006578947368421,0.8433734939759036,0.5384615384615384,0.4545454545454545,0.7750000000000004,0.7750000000000004,0.7999999999999998,0.8554216867469878,0.3333333333333333,Naive Bayes,0,Tidak Hujan,1
2024-06-02,24.6,32.6,28.4,70.0,3.5,83.0,6.0,0,Tidak Hujan,0.6750000000000007,0.5250000000000004,0.7249999999999996,0.4605263157894737,0.4216867469879518,0.4358974358974359,0.4545454545454545,0.625,0.7249999999999996,0.5999999999999996,0.8433734939759036,0.5384615384615384,Naive Bayes,1,Hujan,1
2024-06-03,24.6,33.4,27.9,12.0,3.1,84.0,6.0,1,Hujan,0.6750000000000007,0.7249999999999996,0.5999999999999996,0.0789473684210526,0.3734939759036144,0.4871794871794871,0.4545454545454545,0.6750000000000007,0.5250000000000004,0.7249999999999996,0.4216867469879518,0.4358974358974359,Naive Bayes,0,Tidak Hujan,0
2024-06-04,24.2,32.8,27.9,58.5,3.7,84.0,6.0,1,Hujan,0.5750000000000002,0.5749999999999993,0.5999999999999996,0.3848684210526316,0.4457831325301205,0.4871794871794871,0.4545454545454545,0.6750000000000007,0.7249999999999996,0.5999999999999996,0.3734939759036144,0.4871794871794871,Naive Bayes,1,Hujan,0
2024-06-05,24.2,32.0,28.4,14.5,4.8,80.0,6.0,1,Hujan,0.5750000000000002,0.375,0.7249999999999996,0.0953947368421052,0.5783132530120482,0.282051282051282,0.4545454545454545,0.5750000000000002,0.5749999999999993,0.5999999999999996,0.4457831325301205,0.4871794871794871,Naive Bayes,0,Tidak Hujan,0
2024-06-06,24.8,32.4,27.3,0.5,2.0,84.0,6.0,0,Tidak Hujan,0.7250000000000005,0.4749999999999996,0.4500000000000002,0.0032894736842105,0.2409638554216867,0.4871794871794871,0.4545454545454545,0.5750000000000002,0.375,0.7249999999999996,0.5783132530120482,0.282051282051282,Naive Bayes,0,Tidak Hujan,0
2024-06-07,24.4,30.6,27.0,3.5,2.0,85.0,6.0,1,Hujan,0.625,0.0250000000000003,0.375,0.0230263157894736,0.2409638554216867,0.5384615384615384,0.4545454545454545,0.7250000000000005,0.4749999999999996,0.4500000000000002,0.2409638554216867,0.4871794871794871,Naive Bayes,1,Hujan,0
2024-06-08,23.8,32.6,28.2,1.8,0.0,81.0,6.0,0,Tidak Hujan,0.4750000000000005,0.5250000000000004,0.6749999999999998,0.0118421052631578,0.0,0.3333333333333333,0.4545454545454545,0.625,0.0250000000000003,0.375,0.2409638554216867,0.5384615384615384,Naive Bayes,1,Hujan,0
2024-06-09,24.4,33.2,28.4,0.1,5.8,83.0,6.0,0,Tidak Hujan,0.625,0.6750000000000007,0.7249999999999996,0.0006578947368421,0.6987951807228915,0.4358974358974359,0.4545454545454545,0.4750000000000005,0.5250000000000004,0.6749999999999998,0.0,0.3333333333333333,Naive Bayes,0,Tidak Hujan,0
2024-06-10,25.4,31.2,27.1,17.5,6.1,87.0,6.0,0,Tidak Hujan,0.875,0.1749999999999998,0.4000000000000003,0.1151315789473684,0.7349397590361445,0.6410256410256411,0.4545454545454545,0.625,0.6750000000000007,0.7249999999999996,0.6987951807228915,0.4358974358974359,Naive Bayes,1,Hujan,1
2024-06-11,23.2,33.2,28.2,9.0,1.0,81.0,6.0,0,Tidak Hujan,0.3250000000000002,0.6750000000000007,0.6749999999999998,0.0592105263157894,0.1204819277108433,0.3333333333333333,0.4545454545454545,0.875,0.1749999999999998,0.4000000000000003,0.7349397590361445,0.6410256410256411,Naive Bayes,1,Hujan,0
2024-06-12,24.4,31.8,28.2,0.0,3.5,79.0,6.0,0,Tidak Hujan,0.625,0.3250000000000002,0.6749999999999998,0.0,0.4216867469879518,0.2307692307692307,0.4545454545454545,0.3250000000000002,0.6750000000000007,0.6749999999999998,0.1204819277108433,0.3333333333333333,Naive Bayes,0,Tidak Hujan,0
2024-06-13,24.4,31.8,27.3,4.75,3.4,87.0,6.0,1,Hujan,0.625,0.3250000000000002,0.4500000000000002,0.03125,0.4096385542168674,0.6410256410256411,0.4545454545454545,0.625,0.3250000000000002,0.6749999999999998,0.4216867469879518,0.2307692307692307,Naive Bayes,0,Tidak Hujan,0
2024-06-14,24.6,31.4,27.1,9.5,3.5,89.0,6.0,1,Hujan,0.6750000000000007,0.2249999999999996,0.4000000000000003,0.0625,0.4216867469879518,0.7435897435897436,0.4545454545454545,0.625,0.3250000000000002,0.4500000000000002,0.4096385542168674,0.6410256410256411,Naive Bayes,1,Hujan,0
2024-06-15,23.8,31.4,25.9,0.1,0.3,90.0,6.0,1,Hujan,0.4750000000000005,0.2249999999999996,0.0999999999999996,0.0006578947368421,0.036144578313253,0.7948717948717948,0.4545454545454545,0.6750000000000007,0.2249999999999996,0.4000000000000003,0.4216867469879518,0.7435897435897436,Naive Bayes,1,Hujan,0
2024-06-16,23.2,32.0,27.7,17.0,1.0,80.0,6.0,0,Tidak Hujan,0.3250000000000002,0.375,0.5499999999999998,0.1118421052631579,0.1204819277108433,0.282051282051282,0.4545454545454545,0.4750000000000005,0.2249999999999996,0.0999999999999996,0.036144578313253,0.7948717948717948,Naive Bayes,1,Hujan,0
